dataset,model,fname,ACC,iou,iouA,iouB,dice,DSC,model_
Hepatic Artery Branch,cGAN+MT2F-UNET,13_39_34560_55296_real_B_b.png,0.714416504,0.554593199,0.532252018,0.576934379,0.357208252,0.694731691,1
Hepatic Artery Branch,cGAN+MT2F-UNET,13_39_34560_55296_real_B_c.png,0.76322937,0.615346791,0.641424412,0.589269171,0.381614685,0.781546086,1
Hepatic Artery Branch,cGAN+MT2F-UNET,13_39_34560_55296_real_B_d.png,0.820922852,0.67412658,0.759019322,0.589233839,0.410461426,0.863002825,1
Hepatic Artery Branch,cGAN+MT2F-UNET,13_39_36608_64000_real_B_a.png,0.797576904,0.604992351,0.453219026,0.756765677,0.398788452,0.623744966,1
Hepatic Artery Branch,cGAN+MT2F-UNET,13_39_36608_64000_real_B_b.png,0.946670532,0.603139607,0.260630421,0.945648793,0.473335266,0.413492197,1
Hepatic Artery Branch,cGAN+MT2F-UNET,13_39_36608_64000_real_B_c.png,0.723815918,0.557978215,0.494229748,0.621726682,0.361907959,0.661517747,1
Hepatic Artery Branch,cGAN+MT2F-UNET,13_39_36608_64000_real_B_d.png,0.82635498,0.694884599,0.641879347,0.747889851,0.41317749,0.781883697,1
Hepatic Artery Branch,cGAN+MT2F-UNET,13_39_36608_65024_real_B_a.png,0.767105103,0.583631037,0.710352026,0.456910048,0.383552551,0.830650083,1
Hepatic Artery Branch,cGAN+MT2F-UNET,13_39_36608_65024_real_B_b.png,0.778427124,0.628306168,0.685910192,0.570702143,0.389213562,0.813697189,1
Hepatic Artery Branch,cGAN+MT2F-UNET,13_39_36608_65024_real_B_c.png,0.76361084,0.608020598,0.669341757,0.546699438,0.38180542,0.801922979,1
Hepatic Artery Branch,cGAN+MT2F-UNET,13_39_36608_65024_real_B_d.png,0.737304688,0.583110305,0.564812942,0.601407668,0.368652344,0.721891962,1
Hepatic Artery Branch,cGAN+MT2F-UNET,1_41_30464_60672_real_B_a.png,0.798583984,0.628782831,0.513310228,0.744255435,0.399291992,0.678393919,1
Hepatic Artery Branch,cGAN+MT2F-UNET,1_41_30464_60672_real_B_b.png,0.696609497,0.49105569,0.342428151,0.63968323,0.348304749,0.510162351,1
Hepatic Artery Branch,cGAN+MT2F-UNET,1_41_30464_60672_real_B_c.png,0.88760376,0.627222624,0.37496818,0.879477069,0.44380188,0.545420884,1
Hepatic Artery Branch,cGAN+MT2F-UNET,1_41_30464_60672_real_B_d.png,0.800262451,0.538945313,0.295933735,0.781956891,0.400131226,0.456711214,1
Hepatic Artery Branch,cGAN+MT2F-UNET,1_41_31488_34560_real_B_a.png,0.674255371,0.507950022,0.525642165,0.49025788,0.337127686,0.689076609,1
